Summary,Temperature,Apparent Temperature,Humidity,Wind Speed,Visibility,Pressure
1,9.472222222,7.388888889,0.89,14.1197,15.8263,1015.13
1,9.355555556,7.227777778,0.86,14.2646,15.8263,1015.63
2,9.377777778,9.377777778,0.89,3.9284,14.9569,1015.94
1,8.288888889,5.944444444,0.83,14.1036,15.8263,1016.41
2,8.755555556,6.977777778,0.83,11.0446,15.8263,1016.51
1,9.222222222,7.111111111,0.85,13.9587,14.9569,1016.66
1,7.733333333,5.522222222,0.95,12.3648,9.982,1016.72
1,8.772222222,6.527777778,0.89,14.1519,9.982,1016.84
1,10.82222222,10.82222222,0.82,11.3183,9.982,1017.37
1,13.77222222,13.77222222,0.72,12.5258,9.982,1017.22
1,16.01666667,16.01666667,0.67,17.5651,11.2056,1017.42
1,17.14444444,17.14444444,0.54,19.7869,11.4471,1017.74
1,17.8,17.8,0.55,21.9443,11.27,1017.59
1,17.33333333,17.33333333,0.51,20.6885,11.27,1017.48
1,18.87777778,18.87777778,0.47,15.3755,11.4471,1017.17
1,18.91111111,18.91111111,0.46,10.4006,11.27,1016.47
1,15.38888889,15.38888889,0.6,14.4095,11.27,1016.15
2,15.55,15.55,0.63,11.1573,11.4471,1016.17
2,14.25555556,14.25555556,0.69,8.5169,11.2056,1015.82
2,13.14444444,13.14444444,0.7,7.6314,11.2056,1015.83
2,11.55,11.55,0.77,7.3899,11.0285,1015.85
2,11.18333333,11.18333333,0.76,4.9266,9.982,1015.77
1,10.11666667,10.11666667,0.79,6.6493,15.8263,1015.4
2,10.2,10.2,0.77,3.9284,14.9569,1015.51
1,10.42222222,10.42222222,0.62,16.9855,15.8263,1014.4
1,9.911111111,7.566666667,0.66,17.2109,15.8263,1014.2
2,11.18333333,11.18333333,0.8,10.8192,14.9569,1008.71
1,7.155555556,5.044444444,0.79,11.0768,15.8263,1014.47
1,6.111111111,4.816666667,0.82,6.6493,15.8263,1014.45
1,6.788888889,4.272222222,0.83,13.0088,14.9569,1014.49
2,7.261111111,5.155555556,0.85,11.1734,6.1985,1014.52
2,7.8,5.527777778,0.83,12.8156,8.05,1014.16
2,9.872222222,7.933333333,0.78,13.7494,9.982,1014.24
2,12.22222222,12.22222222,0.72,15.6331,9.982,1014.25
2,15.09444444,15.09444444,0.61,17.549,9.982,1013.96
2,17.35555556,17.35555556,0.52,22.7815,9.982,1013.85
2,19.00555556,19.00555556,0.46,23.8924,9.982,1013.04
